"SEER_registry","countyfips","geoid10","no2_annual","year","no2_iqr","no2_per10","ozone_annual","ozone_iqr","ozone_per10","pm25_annual","pm25_iqr","pm25_iqr_noakhi","pm25_per10","num_perims","parea_perims","tract_cty_pop","numwf_3cat","numwf_3cat_noakhi","numwf_4cat","numwf_4cat_noakhi","numwf_5cat","numwf_5cat_noakhi","areawf_3cat","areawf_3cat_noakhi","areawf_4cat","areawf_4cat_noakhi","areawf_5cat","areawf_5cat_noakhi","popwf_3cat","popwf_3cat_noakhi","popwf_4cat","popwf_4cat_noakhi","popwf_5cat","popwf_5cat_noakhi","urban","hs_edu","poverty_150","unemploy","medhouseinc","samehouse2000","samehouse2018_22","samehouse_2013_17","samehouse_2008_12","obesity","DIABETES","StateAbbr","LocationName","SLEEP","ACCESS2","BINGE","LPA","CSMOKING","DEPRESSION","DISABILITY","check"
"San Francisco-Oakland SMSA",6001,6001,24.471244926,2000,3.3167363443,2.4471244926,30.750222178,4.2211957264,3.0750222178,10.13133115,1.9671289439,1.9964553582,1.013133115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,24.463727883,2001,3.5942486391,2.4463727883,31.469099446,5.9960470774,3.1469099446,10.40843261,2.3395762846,2.3411212439,1.040843261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,25.787042301,2002,3.2305183602,2.5787042301,33.903436136,8.1262249548,3.3903436136,12.101266101,3.9020399282,4.0186251096,1.2101266101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,23.114787082,2003,2.6220325889,2.3114787082,33.396397053,10.785184123,3.3396397053,9.0487708546,2.5265637546,2.5672149454,0.9048770855,1,0.0073420086,0.0046885625,1,1,1,1,1,1,2,2,3,3,3,3,1,1,1,1,1,1,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,20.170560462,2004,3.0095978081,2.0170560462,32.290451994,7.464644916,3.2290451994,9.835061266,2.6729440462,2.7306290675,0.9835061266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,18.882039171,2005,3.0159803775,1.8882039171,31.278011101,8.0414003943,3.1278011101,9.6238047524,2.2749162402,2.34829623,0.9623804752,1,0.007770544,0.0046885625,1,1,1,1,1,1,2,2,3,3,4,4,1,1,1,1,1,1,1,63.31,17.71,5.5,55950,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,19.749993399,2006,3.2337016266,1.9749993399,34.720859927,6.674093833,3.4720859927,9.0683623788,2.2984089448,2.3155627325,0.9068362379,1,0.0046916197,0.0046885625,1,1,1,1,1,1,2,2,2,2,3,3,1,1,1,1,1,1,1,65.57,18.97,8.5,69380,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,17.35842205,2007,4.3324461452,1.735842205,32.636107615,5.3979410543,3.2636107615,7.9477836186,2.1619368573,2.2387726197,0.7947783619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.57,18.97,8.5,69380,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,18.494965976,2008,4.5284953495,1.8494965976,34.71728057,6.7993771756,3.471728057,8.5115338523,3.6676742489,3.7254219975,0.8511533852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.57,18.97,8.5,69380,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
"San Francisco-Oakland SMSA",6001,6001,17.745465696,2009,3.7282887131,1.7745465696,32.713258563,13.769206704,3.2713258563,7.7869984707,4.5613772296,4.6980751407,0.7786998471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.11,19.44,9.21,70820,50.78,87.54,86.54,84.17,24.8,9.4,"CA","Alameda",29.9,7.3,14.8,18.2,9.2,16,21.9,NA
