"term","estimate","ci","estimate_exp","ci_exp","p.value"
"numwf_3cat1",0.0277262646886729,"(0.0129, 0.0426)",1.02811421473444,"(1.013, 1.043)",0.000249045482735466
"numwf_3cat2",0.0361937999891181,"(0.0179, 0.0545)",1.03685676985154,"(1.018, 1.056)",0.000109342392246035
"numwf_4cat1",0.0281497234354489,"(0.0118, 0.0445)",1.0285496708837,"(1.012, 1.046)",0.000758556431587649
"numwf_4cat2",0.0260273599374311,"(0.0077, 0.0443)",1.02636902948172,"(1.008, 1.045)",0.00536257002333741
"numwf_4cat3",0.0454717051206536,"(0.0254, 0.0655)",1.04652139299847,"(1.026, 1.068)",8.76514621771089e-06
"areawf_3cat1",0.0271452042360238,"(0.0116, 0.0427)",1.02751699175158,"(1.012, 1.044)",0.000620061738353176
"areawf_3cat2",0.0373072968780779,"(0.0186, 0.0561)",1.03801194966427,"(1.019, 1.058)",9.62864038956362e-05
"areawf_4cat1",0.036272639355386,"(0.0192, 0.0534)",1.03693851820463,"(1.019, 1.055)",3.21779989343802e-05
"areawf_4cat2",0.0279475195487131,"(0.0097, 0.0462)",1.02834171516798,"(1.01, 1.047)",0.00267087656860766
"areawf_4cat3",0.0260807685796142,"(0.0047, 0.0475)",1.02642384792184,"(1.005, 1.049)",0.0167789905652598
"popwf_3cat1",0.0235756204957316,"(0.0092, 0.038)",1.02385572229654,"(1.009, 1.039)",0.00134757761905558
"popwf_3cat2",0.0826764357821147,"(0.0619, 0.1035)",1.08619029936872,"(1.064, 1.109)",7.17351645799519e-15
"popwf_4cat1",0.0208481427886424,"(0.006, 0.0357)",1.021066983479,"(1.006, 1.036)",0.00592191095535934
"popwf_4cat2",0.0436906132507248,"(0.0245, 0.0629)",1.0446591012024,"(1.025, 1.065)",7.98166446480444e-06
"popwf_4cat3",0.0965906324375364,"(0.0704, 0.1228)",1.10140940003896,"(1.073, 1.131)",4.72089796940375e-13
