"term","estimate","ci","estimate_exp","ci_exp","p.value"
"numwf_3cat1",-0.00153281042596386,"(-0.0167, 0.0136)",0.998468363727942,"(0.983, 1.014)",0.843060508091172
"numwf_3cat2",0.00829679247654588,"(-0.0101, 0.0267)",1.0083313062444,"(0.99, 1.027)",0.375703978610437
"numwf_4cat1",-0.00139109715038311,"(-0.0182, 0.0154)",0.99860986997675,"(0.982, 1.015)",0.870847329071389
"numwf_4cat2",0.00617563436756873,"(-0.0121, 0.0244)",1.00619474291303,"(0.988, 1.025)",0.50682608873337
"numwf_4cat3",0.00293960032127563,"(-0.0172, 0.0231)",1.00294392518305,"(0.983, 1.023)",0.774877765660817
"areawf_3cat1",-0.00251134959035877,"(-0.0184, 0.0134)",0.997491801209885,"(0.982, 1.014)",0.757375256279441
"areawf_3cat2",0.010011604199581,"(-0.0087, 0.0287)",1.0100618879759,"(0.991, 1.029)",0.294660431182498
"areawf_4cat1",0.00849037777122687,"(-0.0088, 0.0258)",1.00852652325242,"(0.991, 1.026)",0.33509597806035
"areawf_4cat2",-0.00651216473416261,"(-0.0252, 0.0121)",0.993508993457144,"(0.975, 1.012)",0.493749103967425
"areawf_4cat3",0.00655536823544878,"(-0.0149, 0.028)",1.00657690168932,"(0.985, 1.028)",0.549078983294436
"popwf_3cat1",0.00361352861689855,"(-0.0109, 0.0181)",1.00362006528254,"(0.989, 1.018)",0.625246886532094
"popwf_3cat2",-0.00888339910869654,"(-0.0316, 0.0138)",0.991155941701606,"(0.969, 1.014)",0.44322691563645
"popwf_4cat1",0.000653448253249951,"(-0.0143, 0.0156)",1.00065366179707,"(0.986, 1.016)",0.931524983502071
"popwf_4cat2",0.0111563691238544,"(-0.0084, 0.0307)",1.01121883348557,"(0.992, 1.031)",0.263111475369593
"popwf_4cat3",0.00078919679445304,"(-0.0269, 0.0285)",1.00078950829218,"(0.973, 1.029)",0.955462028338846
