"term","estimate","ci","estimate_exp","ci_exp","p.value","Wf_Subset_Var","Wf_Subset_Val"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"numwf_3cat","0"
"no2_iqr",-0.0178514548091743,"(-0.03496, -0.00075)",0.982306938492833,"(0.966, 0.999)",0.0408165214890672,"numwf_3cat","1"
"no2_iqr",0.00437747568830966,"(-0.00818, 0.01694)",1.00438707083074,"(0.992, 1.017)",0.494497260398065,"numwf_3cat","2"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"numwf_4cat","0"
"no2_iqr",-0.00501438194109187,"(-0.02651, 0.01648)",0.994998169084725,"(0.974, 1.017)",0.647553143137691,"numwf_4cat","1"
"no2_iqr",0.00449881191295615,"(-0.01187, 0.02086)",1.00450894675983,"(0.988, 1.021)",0.590030951241752,"numwf_4cat","2"
"no2_iqr",0.0258294127289413,"(0.00554, 0.04612)",1.02616588270429,"(1.006, 1.047)",0.0126021369486777,"numwf_4cat","3"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"areawf_3cat","0"
"no2_iqr",-0.021215810458742,"(-0.03809, -0.00435)",0.979007661677014,"(0.963, 0.996)",0.0137035151276611,"areawf_3cat","1"
"no2_iqr",-0.00144717561989239,"(-0.01305, 0.01016)",0.998553871033787,"(0.987, 1.01)",0.806928104293447,"areawf_3cat","2"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"areawf_4cat","0"
"no2_iqr",-0.01838437334107,"(-0.04414, 0.00737)",0.981783588385172,"(0.957, 1.007)",0.161742527672117,"areawf_4cat","1"
"no2_iqr",-0.0109534154772106,"(-0.03019, 0.00828)",0.989106354749671,"(0.97, 1.008)",0.264328879368638,"areawf_4cat","2"
"no2_iqr",-0.00166370216625607,"(-0.01707, 0.01374)",0.998337681019017,"(0.983, 1.014)",0.832348951662339,"areawf_4cat","3"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"popwf_3cat","0"
"no2_iqr",0.00120482493832179,"(-0.00862, 0.01103)",1.00120555103146,"(0.991, 1.011)",0.810116985152177,"popwf_3cat","1"
"no2_iqr",0.0299327886438411,"(-0.01218, 0.07204)",1.03038527803425,"(0.988, 1.075)",0.163579223574397,"popwf_3cat","2"
"no2_iqr",-0.00445973177018219,"(-0.01287, 0.00395)",0.995550198066595,"(0.987, 1.004)",0.29884306906497,"popwf_4cat","0"
"no2_iqr",-0.000382813225946069,"(-0.01231, 0.01155)",0.999617260037688,"(0.988, 1.012)",0.949861405441822,"popwf_4cat","1"
"no2_iqr",0.0305231587157092,"(0.00743, 0.05361)",1.03099376626384,"(1.007, 1.055)",0.00956913717768219,"popwf_4cat","2"
"no2_iqr",0.0369108799393527,"(-0.02969, 0.10351)",1.03760054569396,"(0.971, 1.109)",0.27738233008141,"popwf_4cat","3"
