"term","estimate","ci","estimate_exp","ci_exp","p.value","Wf_Subset_Var","Wf_Subset_Val"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"numwf_3cat","0"
"ozone_per10",-0.0676179996806735,"(-0.1044, -0.0309)",0.934617429550761,"(0.901, 0.97)",0.000309597708910466,"numwf_3cat","1"
"ozone_per10",-0.0126682778106797,"(-0.0463, 0.0209)",0.987411627045783,"(0.955, 1.021)",0.459732536033907,"numwf_3cat","2"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"numwf_4cat","0"
"ozone_per10",-0.0393828724181449,"(-0.0908, 0.012)",0.961382551809846,"(0.913, 1.012)",0.133080844236453,"numwf_4cat","1"
"ozone_per10",-0.0860669013937946,"(-0.1271, -0.045)",0.917532844940581,"(0.881, 0.956)",3.96698701285039e-05,"numwf_4cat","2"
"ozone_per10",0.0125111027524165,"(-0.0395, 0.0646)",1.0125896940109,"(0.961, 1.067)",0.637548058002831,"numwf_4cat","3"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"areawf_3cat","0"
"ozone_per10",-0.0749903065935399,"(-0.11, -0.0399)",0.927752479366843,"(0.896, 0.961)",2.7346774785527e-05,"areawf_3cat","1"
"ozone_per10",-0.0247664701035224,"(-0.0551, 0.0056)",0.975537702648047,"(0.946, 1.006)",0.109667273967483,"areawf_3cat","2"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"areawf_4cat","0"
"ozone_per10",-0.0414179847299013,"(-0.0984, 0.0156)",0.959428019862951,"(0.906, 1.016)",0.154240296090394,"areawf_4cat","1"
"ozone_per10",-0.0633220626557442,"(-0.0983, -0.0283)",0.938641123750829,"(0.906, 0.972)",0.000393077210790631,"areawf_4cat","2"
"ozone_per10",-0.0417914699075703,"(-0.0783, -0.0053)",0.959069754626035,"(0.925, 0.995)",0.0247961030545618,"areawf_4cat","3"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"popwf_3cat","0"
"ozone_per10",-0.0138827007365004,"(-0.0378, 0.0101)",0.986213219562724,"(0.963, 1.01)",0.255610588906516,"popwf_3cat","1"
"ozone_per10",-0.0376484003838572,"(-0.1169, 0.0416)",0.963051489905037,"(0.89, 1.042)",0.351732606959418,"popwf_3cat","2"
"ozone_per10",-0.0721242979012209,"(-0.1069, -0.0373)",0.930415239961874,"(0.899, 0.963)",4.86403523597428e-05,"popwf_4cat","0"
"ozone_per10",-0.0418018033520889,"(-0.0732, -0.0104)",0.95905984418314,"(0.929, 0.99)",0.00908097888136059,"popwf_4cat","1"
"ozone_per10",-0.01580171900251,"(-0.0618, 0.0302)",0.984322473148899,"(0.94, 1.031)",0.500651491494167,"popwf_4cat","2"
"ozone_per10",-0.0155215506083912,"(-0.1607, 0.1297)",0.98459828783097,"(0.852, 1.138)",0.83401370256566,"popwf_4cat","3"
