"term","estimate","ci","estimate_exp","ci_exp","p.value","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"popwf_3cat","0"
"pm25_iqr",-0.0125367422389763,"(-0.0321, 0.0071)",0.987541515340931,"(0.968, 1.007)",0.210203830123675,"popwf_3cat","1"
"pm25_iqr",0.102573503834289,"(0.0171, 0.1881)",1.10801874254271,"(1.017, 1.207)",0.0186915284817496,"popwf_3cat","2"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"popwf_4cat","0"
"pm25_iqr",0.0141601118212703,"(-0.0111, 0.0394)",1.014260841089,"(0.989, 1.04)",0.271167874245618,"popwf_4cat","1"
"pm25_iqr",-0.0523883117954985,"(-0.0975, -0.0073)",0.948960302809599,"(0.907, 0.993)",0.0227222189146546,"popwf_4cat","2"
"pm25_iqr",0.188463050516664,"(0.0537, 0.3232)",1.20739246963446,"(1.055, 1.382)",0.00612782663189667,"popwf_4cat","3"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"numwf_3cat","0"
"pm25_iqr",0.0131635902468103,"(-0.0248, 0.0511)",1.01325061172001,"(0.975, 1.052)",0.496835328998456,"numwf_3cat","1"
"pm25_iqr",-0.0200801710762216,"(-0.0441, 0.0039)",0.980120092874186,"(0.957, 1.004)",0.100833303397814,"numwf_3cat","2"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"numwf_4cat","0"
"pm25_iqr",0.0752989041147019,"(0.0202, 0.1304)",1.07820638304836,"(1.02, 1.139)",0.00735620378834718,"numwf_4cat","1"
"pm25_iqr",0.0167091779088611,"(-0.0138, 0.0472)",1.01684955700524,"(0.986, 1.048)",0.283446142784631,"numwf_4cat","2"
"pm25_iqr",-0.0359678301557442,"(-0.0819, 0.0099)",0.964671326310285,"(0.921, 1.01)",0.124667703145214,"numwf_4cat","3"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"areawf_3cat","0"
"pm25_iqr",0.0185039633580921,"(-0.017, 0.0541)",1.01867622254022,"(0.983, 1.056)",0.307620547415016,"areawf_3cat","1"
"pm25_iqr",-0.0233253530553592,"(-0.0469, 2e-04)",0.976944580156554,"(0.954, 1)",0.0520262290139085,"areawf_3cat","2"
"pm25_iqr",0.0317673776657657,"(1e-04, 0.0634)",1.03227734660712,"(1, 1.065)",0.0489279224615983,"areawf_4cat","0"
"pm25_iqr",0.0742707498400215,"(0.0142, 0.1343)",1.07709839023802,"(1.014, 1.144)",0.0153686379812222,"areawf_4cat","1"
"pm25_iqr",0.00527064150600571,"(-0.0276, 0.0382)",1.00528455577191,"(0.973, 1.039)",0.75366032997702,"areawf_4cat","2"
"pm25_iqr",-0.0265290002583841,"(-0.056, 0.003)",0.973819802400143,"(0.946, 1.003)",0.0780874223406894,"areawf_4cat","3"
