"term","estimate","ci","estimate_exp","ci_exp","p.value","age_group","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","popwf_3cat","0"
"pm25_iqr",0.0329948497283875,"(-0.0304, 0.0964)",1.03354521618901,"(0.97, 1.101)",0.307503283084803,"<50","popwf_3cat","1"
"pm25_iqr",-0.0436134293336195,"(-0.3263, 0.2391)",0.957323959313404,"(0.722, 1.27)",0.762360368229158,"<50","popwf_3cat","2"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","popwf_4cat","0"
"pm25_iqr",0.0311830388059112,"(-0.0443, 0.1067)",1.03167432304156,"(0.957, 1.113)",0.418082456179749,"<50","popwf_4cat","1"
"pm25_iqr",-0.0319506942939526,"(-0.1801, 0.1162)",0.968554336157303,"(0.835, 1.123)",0.672419113483586,"<50","popwf_4cat","2"
"pm25_iqr",-0.113985681657387,"(-0.5756, 0.3476)",0.892270731628983,"(0.562, 1.416)",0.628393819843387,"<50","popwf_4cat","3"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","numwf_3cat","0"
"pm25_iqr",-0.0591364950407541,"(-0.1662, 0.0479)",0.942578103139561,"(0.847, 1.049)",0.278855155182167,"<50","numwf_3cat","1"
"pm25_iqr",0.0261162176431597,"(-0.0523, 0.1045)",1.02646023433098,"(0.949, 1.11)",0.513805863745823,"<50","numwf_3cat","2"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","numwf_4cat","0"
"pm25_iqr",-0.0388817064913814,"(-0.1996, 0.1218)",0.961864484741493,"(0.819, 1.13)",0.635365173494771,"<50","numwf_4cat","1"
"pm25_iqr",-0.00212251824686248,"(-0.0916, 0.0874)",0.99787973270215,"(0.912, 1.091)",0.9629221873385,"<50","numwf_4cat","2"
"pm25_iqr",-0.0133189001719704,"(-0.1693, 0.1426)",0.986769403906451,"(0.844, 1.153)",0.867065008991815,"<50","numwf_4cat","3"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","areawf_3cat","0"
"pm25_iqr",-0.049422732461721,"(-0.1546, 0.0558)",0.951778696892242,"(0.857, 1.057)",0.357267490207533,"<50","areawf_3cat","1"
"pm25_iqr",0.0530902595568491,"(-0.0266, 0.1328)",1.05452482176709,"(0.974, 1.142)",0.191691264424776,"<50","areawf_3cat","2"
"pm25_iqr",0.0134939881947328,"(-0.0761, 0.1031)",1.01358544295358,"(0.927, 1.109)",0.76787675145153,"<50","areawf_4cat","0"
"pm25_iqr",0.0137592240436018,"(-0.1592, 0.1867)",1.013854317805,"(0.853, 1.205)",0.876080509918119,"<50","areawf_4cat","1"
"pm25_iqr",-0.0183288123727906,"(-0.1157, 0.0791)",0.981838138747405,"(0.891, 1.082)",0.712308097520166,"<50","areawf_4cat","2"
"pm25_iqr",0.0231892616839255,"(-0.0766, 0.123)",1.02346022302345,"(0.926, 1.131)",0.648829969265021,"<50","areawf_4cat","3"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","popwf_3cat","0"
"pm25_iqr",-0.014852631733315,"(-0.0438, 0.0141)",0.985257124539656,"(0.957, 1.014)",0.314683415891919,">=50","popwf_3cat","1"
"pm25_iqr",0.121029359115961,"(0.0267, 0.2154)",1.12865804828344,"(1.027, 1.24)",0.0119353598700739,">=50","popwf_3cat","2"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","popwf_4cat","0"
"pm25_iqr",0.00781640844646862,"(-0.029, 0.0446)",1.00784703631494,"(0.971, 1.046)",0.677248967330218,">=50","popwf_4cat","1"
"pm25_iqr",-0.036585869466236,"(-0.0952, 0.022)",0.964075305709974,"(0.909, 1.022)",0.221223177119781,">=50","popwf_4cat","2"
"pm25_iqr",0.226467383467247,"(0.0816, 0.3713)",1.25416170276053,"(1.085, 1.45)",0.00218612836009385,">=50","popwf_4cat","3"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","numwf_3cat","0"
"pm25_iqr",0.0225265907573458,"(-0.0312, 0.0762)",1.02278223035697,"(0.969, 1.079)",0.411131282881748,">=50","numwf_3cat","1"
"pm25_iqr",-0.018728001853135,"(-0.0543, 0.0168)",0.981446277509662,"(0.947, 1.017)",0.301740341118047,">=50","numwf_3cat","2"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","numwf_4cat","0"
"pm25_iqr",0.0925702708030079,"(0.0224, 0.1628)",1.09699022523593,"(1.023, 1.177)",0.00977178661117916,">=50","numwf_4cat","1"
"pm25_iqr",0.0130124932182112,"(-0.0274, 0.0534)",1.01309752412919,"(0.973, 1.055)",0.527601585239257,">=50","numwf_4cat","2"
"pm25_iqr",-0.0211773556792185,"(-0.0904, 0.048)",0.979045309924669,"(0.914, 1.049)",0.548669371650951,">=50","numwf_4cat","3"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","areawf_3cat","0"
"pm25_iqr",0.0284575241553933,"(-0.0219, 0.0788)",1.02886630794095,"(0.978, 1.082)",0.267886070328404,">=50","areawf_3cat","1"
"pm25_iqr",-0.0289284661245807,"(-0.0635, 0.0057)",0.971485956136429,"(0.938, 1.006)",0.10130148983923,">=50","areawf_3cat","2"
"pm25_iqr",0.0375825815934575,"(-0.0053, 0.0805)",1.03829773782315,"(0.995, 1.084)",0.0860698163387979,">=50","areawf_4cat","0"
"pm25_iqr",0.0796458993906024,"(0.0032, 0.1561)",1.08290354297132,"(1.003, 1.169)",0.0410613200142582,">=50","areawf_4cat","1"
"pm25_iqr",0.0123945343616847,"(-0.033, 0.0578)",1.01247166493916,"(0.968, 1.059)",0.592473445709769,">=50","areawf_4cat","2"
"pm25_iqr",-0.0247987347203801,"(-0.0679, 0.0183)",0.975506227805605,"(0.934, 1.018)",0.259691629087389,">=50","areawf_4cat","3"
