"term","estimate","ci","estimate_exp","ci_exp","p.value","race","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","popwf_3cat","0"
"pm25_iqr",0.00107146402500241,"(-0.0254, 0.0275)",1.00107203824765,"(0.975, 1.028)",0.936702197163839,"White","popwf_3cat","1"
"pm25_iqr",0.162279080220959,"(0.0675, 0.2571)",1.17618844645261,"(1.07, 1.293)",0.000795917958272724,"White","popwf_3cat","2"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","popwf_4cat","0"
"pm25_iqr",0.0360624441841045,"(0.003, 0.0692)",1.0367205816406,"(1.003, 1.072)",0.0326717176658131,"White","popwf_4cat","1"
"pm25_iqr",-0.0288520783103389,"(-0.0886, 0.0309)",0.971560168659615,"(0.915, 1.031)",0.343913360036578,"White","popwf_4cat","2"
"pm25_iqr",0.28316245557023,"(0.1352, 0.4311)",1.32732077495628,"(1.145, 1.539)",0.000175887111316276,"White","popwf_4cat","3"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","numwf_3cat","0"
"pm25_iqr",0.0345126298180734,"(-0.014, 0.083)",1.03511510160898,"(0.986, 1.087)",0.162977529058325,"White","numwf_3cat","1"
"pm25_iqr",-0.00453948761653666,"(-0.0368, 0.0277)",0.995470800284221,"(0.964, 1.028)",0.782849860654993,"White","numwf_3cat","2"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","numwf_4cat","0"
"pm25_iqr",0.106708707077447,"(0.0383, 0.1751)",1.11261011182025,"(1.039, 1.191)",0.00223485305052912,"White","numwf_4cat","1"
"pm25_iqr",0.0249937009761557,"(-0.0151, 0.0651)",1.02530866206038,"(0.985, 1.067)",0.222132633071628,"White","numwf_4cat","2"
"pm25_iqr",-0.000368322752656375,"(-0.0626, 0.0619)",0.999631745069842,"(0.939, 1.064)",0.990742779004615,"White","numwf_4cat","3"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","areawf_3cat","0"
"pm25_iqr",0.0627647664119624,"(0.0164, 0.1091)",1.06477633861079,"(1.017, 1.115)",0.00793249398558705,"White","areawf_3cat","1"
"pm25_iqr",-0.0208939553340488,"(-0.0519, 0.0101)",0.979322811023534,"(0.949, 1.01)",0.186956726826315,"White","areawf_3cat","2"
"pm25_iqr",0.0392580661202264,"(0.0024, 0.0761)",1.04003884781116,"(1.002, 1.079)",0.0369740033049084,"White","areawf_4cat","0"
"pm25_iqr",0.09810046552377,"(0.0223, 0.1739)",1.10307360040888,"(1.023, 1.19)",0.0111966938344312,"White","areawf_4cat","1"
"pm25_iqr",0.0313337469965671,"(-0.0123, 0.0749)",1.03182981652891,"(0.988, 1.078)",0.158970827358783,"White","areawf_4cat","2"
"pm25_iqr",-0.0112933491569298,"(-0.0491, 0.0265)",0.988770181328438,"(0.952, 1.027)",0.558317917710375,"White","areawf_4cat","3"
