"term","estimate","ci","estimate_exp","ci_exp","p.value","sex","wf_subset_var","wf_subset_val"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","popwf_3cat","0"
"pm25_iqr",-0.0185054112647089,"(-0.0387, 0.0016)",0.981664762529534,"(0.962, 1.002)",0.0719009760394775,"Male","popwf_3cat","1"
"pm25_iqr",0.0980002845063211,"(-0.0166, 0.2126)",1.10296309890844,"(0.984, 1.237)",0.0938034383219828,"Male","popwf_3cat","2"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","popwf_4cat","0"
"pm25_iqr",0.000157642671249403,"(-0.026, 0.0263)",1.00015765509751,"(0.974, 1.027)",0.990576709558148,"Male","popwf_4cat","1"
"pm25_iqr",-0.033697763156894,"(-0.0853, 0.0179)",0.966863682308909,"(0.918, 1.018)",0.200350822973346,"Male","popwf_4cat","2"
"pm25_iqr",0.183496886187073,"(-0.0044, 0.3714)",1.20141122443607,"(0.996, 1.45)",0.0555799892674033,"Male","popwf_4cat","3"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","numwf_3cat","0"
"pm25_iqr",-0.0168968744217727,"(-0.0574, 0.0236)",0.983245077123858,"(0.944, 1.024)",0.413683881113777,"Male","numwf_3cat","1"
"pm25_iqr",-0.0155339437957763,"(-0.0405, 0.0094)",0.984586085595502,"(0.96, 1.009)",0.222581240833821,"Male","numwf_3cat","2"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","numwf_4cat","0"
"pm25_iqr",0.0426832470077264,"(-0.023, 0.1083)",1.04360727676357,"(0.977, 1.114)",0.202662792229458,"Male","numwf_4cat","1"
"pm25_iqr",0.00183431195075369,"(-0.0339, 0.0375)",1.00183599533004,"(0.967, 1.038)",0.919801504175875,"Male","numwf_4cat","2"
"pm25_iqr",-0.0223072094485244,"(-0.0722, 0.0276)",0.977939756565354,"(0.93, 1.028)",0.380823207319549,"Male","numwf_4cat","3"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","areawf_3cat","0"
"pm25_iqr",-0.00532340940303467,"(-0.0417, 0.031)",0.994690734831155,"(0.959, 1.032)",0.774122373692582,"Male","areawf_3cat","1"
"pm25_iqr",-0.0195821806736379,"(-0.0446, 0.0055)",0.980608304826161,"(0.956, 1.005)",0.125657660937725,"Male","areawf_3cat","2"
"pm25_iqr",0.0282880681566055,"(-0.0088, 0.0653)",1.02869197514441,"(0.991, 1.068)",0.134639255479832,"Male","areawf_4cat","0"
"pm25_iqr",0.0555888784253146,"(-0.018, 0.1292)",1.05716297187732,"(0.982, 1.138)",0.138725633193122,"Male","areawf_4cat","1"
"pm25_iqr",0.000773685241534598,"(-0.0359, 0.0375)",1.00077398461316,"(0.965, 1.038)",0.967043878282371,"Male","areawf_4cat","2"
"pm25_iqr",-0.0275561086203973,"(-0.0586, 0.0035)",0.972820097428559,"(0.943, 1.003)",0.0817881900603011,"Male","areawf_4cat","3"
"pm25_iqr",0.035047728118741,"(-0.0076, 0.0777)",1.03566913815963,"(0.992, 1.081)",0.107426228894502,"Female","popwf_3cat","0"
"pm25_iqr",-0.00697404342254861,"(-0.0343, 0.0203)",0.993050218783624,"(0.966, 1.021)",0.616477741187463,"Female","popwf_3cat","1"
"pm25_iqr",0.10909685909607,"(-0.0135, 0.2317)",1.11527036918989,"(0.987, 1.261)",0.0811106621461336,"Female","popwf_3cat","2"
"pm25_iqr",0.035047728118741,"(-0.0076, 0.0777)",1.03566913815963,"(0.992, 1.081)",0.107426228894502,"Female","popwf_4cat","0"
"pm25_iqr",0.0283091576116115,"(-0.0062, 0.0628)",1.0287136699263,"(0.994, 1.065)",0.107946214095068,"Female","popwf_4cat","1"
"pm25_iqr",-0.0737319741356004,"(-0.139, -0.0085)",0.928920635234648,"(0.87, 0.992)",0.0268257080555936,"Female","popwf_4cat","2"
"pm25_iqr",0.197473089660126,"(0.0068, 0.3881)",1.21832027911572,"(1.007, 1.474)",0.0423550924564442,"Female","popwf_4cat","3"
"pm25_iqr",0.035047728118741,"(-0.0076, 0.0777)",1.03566913815963,"(0.992, 1.081)",0.107426228894502,"Female","numwf_3cat","0"
"pm25_iqr",0.0453530509896234,"(-0.0098, 0.1005)",1.04639722627858,"(0.99, 1.106)",0.106735729859443,"Female","numwf_3cat","1"
"pm25_iqr",-0.026181954377108,"(-0.0596, 0.0073)",0.974157821202295,"(0.942, 1.007)",0.125197939908526,"Female","numwf_3cat","2"
"pm25_iqr",0.035047728118741,"(-0.0076, 0.0777)",1.03566913815963,"(0.992, 1.081)",0.107426228894502,"Female","numwf_4cat","0"
"pm25_iqr",0.110511463191139,"(0.0343, 0.1867)",1.11684915163404,"(1.035, 1.205)",0.00445940605047114,"Female","numwf_4cat","1"
"pm25_iqr",0.0319844292696298,"(-0.011, 0.075)",1.03250142837861,"(0.989, 1.078)",0.144918242256729,"Female","numwf_4cat","2"
"pm25_iqr",-0.0512540066336876,"(-0.1143, 0.0118)",0.950037324099355,"(0.892, 1.012)",0.110871869371883,"Female","numwf_4cat","3"
"pm25_iqr",0.035047728118741,"(-0.0076, 0.0777)",1.03566913815963,"(0.992, 1.081)",0.107426228894502,"Female","areawf_3cat","0"
"pm25_iqr",0.0444094731915289,"(-0.0062, 0.095)",1.04541033476555,"(0.994, 1.1)",0.0854832368858709,"Female","areawf_3cat","1"
