"term","estimate","ci","estimate_exp","ci_exp","p.value","stage","wf_subset_var","wf_subset_val"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","popwf_3cat","0"
"pm25_iqr",0.0290190230046808,"(-1.4501, 1.5081)",1.02944417741027,"(0.235, 4.518)",0.969325663359691,"insitu","popwf_3cat","1"
"pm25_iqr",-10.0254371431566,"(-55.8537, 35.8028)",4.42596494703646e-05,"(0, 3539712786949063)",0.668095170003398,"insitu","popwf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","popwf_4cat","0"
"pm25_iqr",1.29117425801994,"(-2.9292, 5.5116)",3.63705489007306,"(0.053, 247.539)",0.548755878669893,"insitu","popwf_4cat","1"
"pm25_iqr",-6.71097558344044,"(-10.693, -2.7289)",0.00121747579581353,"(0, 0.065)",0.000956134482785713,"insitu","popwf_4cat","2"
"pm25_iqr",-0.98612441842937,"(-1.0491, -0.9232)",0.373019560971932,"(0.35, 0.397)",5.037458373701e-207,"insitu","popwf_4cat","3"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","numwf_3cat","0"
"pm25_iqr",3.01569274511299,"(0.4583, 5.5731)",20.403220277106,"(1.581, 263.245)",0.020821757423172,"insitu","numwf_3cat","1"
"pm25_iqr",0.364398631084427,"(-1.4739, 2.2027)",1.4396479882271,"(0.229, 9.049)",0.697633703151053,"insitu","numwf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","numwf_4cat","0"
"pm25_iqr",20.805513827017,"(-24.5365, 66.1475)",1085725025.47251,"(0, 5.33934073369027e+28)",0.368469125877034,"insitu","numwf_4cat","1"
"pm25_iqr",11.2991684425794,"(2.0021, 20.5962)",80754.4576437105,"(7.405, 880667204.162)",0.0172165992136634,"insitu","numwf_4cat","2"
"pm25_iqr",-1.97220770492901,"(-3.9413, -0.0031)",0.139149316229883,"(0.019, 0.997)",0.0496428771777596,"insitu","numwf_4cat","3"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","areawf_3cat","0"
"pm25_iqr",0.417693639426896,"(-1.9904, 2.8258)",1.51845540826717,"(0.137, 16.874)",0.733882194932232,"insitu","areawf_3cat","1"
"pm25_iqr",0.416721538131069,"(-1.4235, 2.257)",1.51698003302042,"(0.241, 9.554)",0.657161417971492,"insitu","areawf_3cat","2"
"pm25_iqr",13.8717704106156,"(-41.9354, 69.679)",1057872.53900816,"(0, 1.82472106670472e+30)",0.626130598564901,"insitu","areawf_4cat","0"
"pm25_iqr",38.3542158326018,"(-166.2892, 242.9977)",45396701021896600,"(0, 3.4083173278462e+105)",0.713368477419298,"insitu","areawf_4cat","1"
"pm25_iqr",37.0460533055438,"(-9.7651, 83.8572)",12271468216774780,"(0, 2.62249929213641e+36)",0.120876828750867,"insitu","areawf_4cat","2"
"pm25_iqr",1.18318071969449,"(-1.0582, 3.4245)",3.26474193469355,"(0.347, 30.709)",0.300838954074521,"insitu","areawf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","popwf_3cat","0"
"pm25_iqr",0.0254998738932388,"(-7e-04, 0.0517)",1.02582777690662,"(0.999, 1.053)",0.0566138947098851,"localized","popwf_3cat","1"
"pm25_iqr",0.160958032629114,"(0.0295, 0.2924)",1.17463567140856,"(1.03, 1.34)",0.0164235244447516,"localized","popwf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","popwf_4cat","0"
"pm25_iqr",0.0677474053355662,"(0.0345, 0.101)",1.07009497405681,"(1.035, 1.106)",6.64763136647689e-05,"localized","popwf_4cat","1"
"pm25_iqr",-0.0271371116998114,"(-0.0916, 0.0373)",0.973227791458973,"(0.912, 1.038)",0.409439795432425,"localized","popwf_4cat","2"
"pm25_iqr",0.257343228371989,"(0.0449, 0.4698)",1.29348901270589,"(1.046, 1.6)",0.0176071956606435,"localized","popwf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","numwf_3cat","0"
"pm25_iqr",0.0461024573007243,"(-0.0098, 0.102)",1.04718169687076,"(0.99, 1.107)",0.105722146271653,"localized","numwf_3cat","1"
"pm25_iqr",0.0208175134436892,"(-0.0105, 0.0522)",1.0210357093451,"(0.99, 1.054)",0.192996044471342,"localized","numwf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","numwf_4cat","0"
"pm25_iqr",0.0969464863485786,"(0.0198, 0.1741)",1.10180141062674,"(1.02, 1.19)",0.0137287824973229,"localized","numwf_4cat","1"
"pm25_iqr",0.0493412912397066,"(0.0065, 0.0922)",1.05057884291714,"(1.007, 1.097)",0.0239201677117849,"localized","numwf_4cat","2"
"pm25_iqr",0.00573240619891727,"(-0.0513, 0.0628)",1.00574886787931,"(0.95, 1.065)",0.843836233949969,"localized","numwf_4cat","3"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","areawf_3cat","0"
"pm25_iqr",0.0613908839564229,"(0.0114, 0.1114)",1.06331446553094,"(1.011, 1.118)",0.016035505354839,"localized","areawf_3cat","1"
"pm25_iqr",0.013177604058912,"(-0.0181, 0.0444)",1.01326481132319,"(0.982, 1.045)",0.408663964099488,"localized","areawf_3cat","2"
"pm25_iqr",0.0370568803609897,"(-0.0051, 0.0792)",1.03775204687047,"(0.995, 1.082)",0.0846756099521783,"localized","areawf_4cat","0"
"pm25_iqr",0.146594919175797,"(0.0632, 0.23)",1.15788483107639,"(1.065, 1.259)",0.000567937708629518,"localized","areawf_4cat","1"
"pm25_iqr",0.0516332956252775,"(0.0053, 0.0979)",1.05298953583653,"(1.005, 1.103)",0.0288231204543634,"localized","areawf_4cat","2"
"pm25_iqr",0.00383455041004227,"(-0.0349, 0.0426)",1.00384191170454,"(0.966, 1.043)",0.846126244380271,"localized","areawf_4cat","3"
"pm25_iqr",0.0275083782052548,"(-0.0163, 0.0714)",1.02789022694648,"(0.984, 1.074)",0.21882865103431,"regional","popwf_3cat","0"
"pm25_iqr",-0.0296293009769503,"(-0.0555, -0.0037)",0.970805343446186,"(0.946, 0.996)",0.0249124685694878,"regional","popwf_3cat","1"
"pm25_iqr",0.0746830877342747,"(-0.0584, 0.2077)",1.07754261029824,"(0.943, 1.231)",0.271209925749892,"regional","popwf_3cat","2"
