"term","estimate","ci","estimate_exp","ci_exp","p.value","sex","wf_subset_var","wf_subset_val"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","popwf_3cat","0"
"pm25_per10",-0.0690480919463863,"(-0.127, -0.0111)",0.933281795660841,"(0.881, 0.989)",0.0194449992198659,"Male","popwf_3cat","1"
"pm25_per10",-0.131384306603296,"(-0.4148, 0.1521)",0.876880718578352,"(0.66, 1.164)",0.363651118448225,"Male","popwf_3cat","2"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","popwf_4cat","0"
"pm25_per10",-0.0276777476746325,"(-0.1003, 0.0449)",0.972701771708627,"(0.905, 1.046)",0.455042732598361,"Male","popwf_4cat","1"
"pm25_per10",-0.0982533562576094,"(-0.2498, 0.0533)",0.906419227676864,"(0.779, 1.055)",0.203895382291958,"Male","popwf_4cat","2"
"pm25_per10",-0.293875218949448,"(-0.7119, 0.1242)",0.745369493629177,"(0.491, 1.132)",0.168279689433431,"Male","popwf_4cat","3"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","numwf_3cat","0"
"pm25_per10",-0.106803755980899,"(-0.2216, 0.0079)",0.898702020582653,"(0.801, 1.008)",0.0681128353610267,"Male","numwf_3cat","1"
"pm25_per10",-0.0527916178530719,"(-0.1254, 0.0198)",0.948577658537642,"(0.882, 1.02)",0.154123384330792,"Male","numwf_3cat","2"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","numwf_4cat","0"
"pm25_per10",0.00906714705540925,"(-0.1765, 0.1946)",1.0091083781552,"(0.838, 1.215)",0.9236990483209,"Male","numwf_4cat","1"
"pm25_per10",-0.0556339197564381,"(-0.1577, 0.0464)",0.945885342453385,"(0.854, 1.048)",0.285405519530419,"Male","numwf_4cat","2"
"pm25_per10",-0.0432663376188662,"(-0.1867, 0.1001)",0.95765629620037,"(0.83, 1.105)",0.554313897180271,"Male","numwf_4cat","3"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","areawf_3cat","0"
"pm25_per10",-0.0812440656907435,"(-0.1842, 0.0217)",0.921968643068717,"(0.832, 1.022)",0.122053930349782,"Male","areawf_3cat","1"
"pm25_per10",-0.0600543920573091,"(-0.1342, 0.0141)",0.941713310466844,"(0.874, 1.014)",0.112612630357607,"Male","areawf_3cat","2"
"pm25_per10",0.0193450581365987,"(-0.0787, 0.1174)",1.01953338621941,"(0.924, 1.125)",0.69894888020842,"Male","areawf_4cat","0"
"pm25_per10",0.0111599831902707,"(-0.197, 0.2193)",1.0112224881042,"(0.821, 1.245)",0.916323514276511,"Male","areawf_4cat","1"
"pm25_per10",-0.0366174645884981,"(-0.137, 0.0638)",0.96404484611401,"(0.872, 1.066)",0.474774934993313,"Male","areawf_4cat","2"
"pm25_per10",-0.0832541724636236,"(-0.1773, 0.0108)",0.920117249028136,"(0.838, 1.011)",0.0826882774296193,"Male","areawf_4cat","3"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","popwf_3cat","0"
"pm25_per10",-0.00220929397640033,"(-0.0826, 0.0782)",0.997793144717276,"(0.921, 1.081)",0.957041269669835,"Female","popwf_3cat","1"
"pm25_per10",-0.00485437245625566,"(-0.3153, 0.3056)",0.995157390967339,"(0.73, 1.357)",0.975551562652847,"Female","popwf_3cat","2"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","popwf_4cat","0"
"pm25_per10",0.0869601861659058,"(-0.0112, 0.1851)",1.09085324780346,"(0.989, 1.203)",0.0825611843881102,"Female","popwf_4cat","1"
"pm25_per10",-0.241361729061178,"(-0.4302, -0.0525)",0.785557416041268,"(0.65, 0.949)",0.0122549100544053,"Female","popwf_4cat","2"
"pm25_per10",0.0757474871167487,"(-0.3714, 0.5229)",1.07869015660268,"(0.69, 1.687)",0.739855781340717,"Female","popwf_4cat","3"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","numwf_3cat","0"
"pm25_per10",0.0786191139749487,"(-0.0761, 0.2333)",1.08179220405777,"(0.927, 1.263)",0.3192430469455,"Female","numwf_3cat","1"
"pm25_per10",-0.0437223540409395,"(-0.144, 0.0566)",0.957219688760248,"(0.866, 1.058)",0.392806819001715,"Female","numwf_3cat","2"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","numwf_4cat","0"
"pm25_per10",0.259840230793902,"(0.0491, 0.4706)",1.29672289372743,"(1.05, 1.601)",0.0156581554596029,"Female","numwf_4cat","1"
"pm25_per10",0.0571681267476724,"(-0.0697, 0.184)",1.05883381371695,"(0.933, 1.202)",0.376957697652275,"Female","numwf_4cat","2"
"pm25_per10",-0.0508280818591024,"(-0.2369, 0.1352)",0.95044205471875,"(0.789, 1.145)",0.592391830793021,"Female","numwf_4cat","3"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","areawf_3cat","0"
"pm25_per10",0.0781627069272359,"(-0.0658, 0.2221)",1.08129857912719,"(0.936, 1.249)",0.287153017041736,"Female","areawf_3cat","1"
"pm25_per10",-0.0467633207386199,"(-0.1462, 0.0527)",0.954313237015625,"(0.864, 1.054)",0.356641966934731,"Female","areawf_3cat","2"
"pm25_per10",0.0827759358770832,"(-0.0277, 0.1932)",1.08629838078363,"(0.973, 1.213)",0.141920500505301,"Female","areawf_4cat","0"
"pm25_per10",0.178191314501507,"(-0.0552, 0.4116)",1.19505393051296,"(0.946, 1.509)",0.134535033811213,"Female","areawf_4cat","1"
"pm25_per10",0.0235177267502369,"(-0.1049, 0.1519)",1.02379644916972,"(0.9, 1.164)",0.719599006404124,"Female","areawf_4cat","2"
"pm25_per10",-0.0440888228007711,"(-0.1716, 0.0834)",0.956868961917163,"(0.842, 1.087)",0.497887160555183,"Female","areawf_4cat","3"
