"term","estimate","ci","estimate_exp","ci_exp","p.value","race"
"numwf_3cat1",0.00360175144918519,"(-0.0152, 0.0224)",1.00360824555031,"(0.985, 1.023)",0.706736196779193,"White"
"numwf_3cat2",0.0107898894252647,"(-0.012, 0.0335)",1.01084831021104,"(0.988, 1.034)",0.352742103801833,"White"
"numwf_4cat1",0.00533808303778369,"(-0.0153, 0.026)",1.00535235598847,"(0.985, 1.026)",0.61266593589158,"White"
"numwf_4cat2",0.00599907919738776,"(-0.017, 0.029)",1.00601710971046,"(0.983, 1.029)",0.608518289113814,"White"
"numwf_4cat3",0.0106026042847319,"(-0.0147, 0.0359)",1.01065901107022,"(0.985, 1.037)",0.411543184419035,"White"
"areawf_3cat1",0.00344634211004193,"(-0.0165, 0.0234)",1.00345228757509,"(0.984, 1.024)",0.734697941083702,"White"
"areawf_3cat2",0.0113387743291496,"(-0.0122, 0.0349)",1.01140330188798,"(0.988, 1.036)",0.345255432523352,"White"
"areawf_4cat1",0.0127154847832797,"(-0.0088, 0.0342)",1.01279667029938,"(0.991, 1.035)",0.246560101680836,"White"
"areawf_4cat2",-0.00231310507496145,"(-0.0261, 0.0215)",0.997689568091081,"(0.974, 1.022)",0.84872062281411,"White"
"areawf_4cat3",0.0104212453012779,"(-0.0166, 0.0375)",1.01047573559918,"(0.983, 1.038)",0.450506907381002,"White"
"popwf_3cat1",0.00798158057196687,"(-0.0101, 0.026)",1.00801351830082,"(0.99, 1.026)",0.386236788518328,"White"
"popwf_3cat2",-0.00360829881955277,"(-0.0296, 0.0224)",0.99639820326779,"(0.971, 1.023)",0.785508408390135,"White"
"popwf_4cat1",0.0036553946611276,"(-0.0151, 0.0224)",1.00366208376415,"(0.985, 1.023)",0.70186964617281,"White"
"popwf_4cat2",0.0220508480045711,"(-0.0023, 0.0464)",1.0222957648486,"(0.998, 1.047)",0.0755036190132992,"White"
"popwf_4cat3",-0.000480502911440049,"(-0.0318, 0.0308)",0.999519612511596,"(0.969, 1.031)",0.975980107629444,"White"
"numwf_3cat1",0.0122764511916946,"(-0.0206, 0.0452)",1.01235211613392,"(0.98, 1.046)",0.464282939592992,"Black"
"numwf_3cat2",-0.00757118164052923,"(-0.0593, 0.0441)",0.992457407558349,"(0.942, 1.045)",0.774041632646826,"Black"
"numwf_4cat1",-0.001397164003153,"(-0.038, 0.0352)",0.998603811576072,"(0.963, 1.036)",0.940323459123894,"Black"
"numwf_4cat2",0.0309772577479172,"(-0.0142, 0.0762)",1.03146204584992,"(0.986, 1.079)",0.179308176574968,"Black"
"numwf_4cat3",-0.00830501417655155,"(-0.0673, 0.0507)",0.991729377180926,"(0.935, 1.052)",0.782637175882787,"Black"
"areawf_3cat1",0.0074602036368219,"(-0.0259, 0.0408)",1.00748810028438,"(0.974, 1.042)",0.66082884140904,"Black"
"areawf_3cat2",0.0099160716644074,"(-0.0403, 0.0601)",1.00996539881206,"(0.96, 1.062)",0.698780189884517,"Black"
"areawf_4cat1",0.0214214226261291,"(-0.015, 0.0579)",1.02165250841213,"(0.985, 1.06)",0.249430534111216,"Black"
"areawf_4cat2",-0.0143289544690777,"(-0.0596, 0.031)",0.985773216416202,"(0.942, 1.031)",0.535164353524652,"Black"
"areawf_4cat3",-0.00578345065877206,"(-0.0698, 0.0583)",0.994233241297451,"(0.933, 1.06)",0.859549918801314,"Black"
"popwf_3cat1",0.0175820452386634,"(-0.014, 0.0492)",1.01773751924311,"(0.986, 1.05)",0.275624651977467,"Black"
"popwf_3cat2",-0.124832924373038,"(-0.2179, -0.0318)",0.882644358625699,"(0.804, 0.969)",0.00857226764861057,"Black"
"popwf_4cat1",0.0164886397594261,"(-0.0156, 0.0486)",1.01662532761216,"(0.984, 1.05)",0.314610026484046,"Black"
"popwf_4cat2",0.00593462380300769,"(-0.0491, 0.061)",1.0059522685706,"(0.952, 1.063)",0.83261034038937,"Black"
"popwf_4cat3",-0.197634699988418,"(-0.3339, -0.0613)",0.820669588998107,"(0.716, 0.941)",0.00448151148105547,"Black"
"numwf_3cat1",0.090855293795378,"(-0.0408, 0.2226)",1.09511052450453,"(0.96, 1.249)",0.176339585397843,"American Indian/Alaska Native"
"numwf_3cat2",0.0771184865052504,"(-0.089, 0.2432)",1.08017005438544,"(0.915, 1.275)",0.362910715836028,"American Indian/Alaska Native"
"numwf_4cat1",0.0858861196548718,"(-0.0505, 0.2223)",1.08968222785077,"(0.951, 1.249)",0.217269470540149,"American Indian/Alaska Native"
"numwf_4cat2",0.0554311146375339,"(-0.1104, 0.2213)",1.05699620299797,"(0.895, 1.248)",0.512413805720195,"American Indian/Alaska Native"
"numwf_4cat3",0.134456059395785,"(-0.0452, 0.3142)",1.14391439360843,"(0.956, 1.369)",0.142524669734512,"American Indian/Alaska Native"
"areawf_3cat1",0.0998824093104644,"(-0.0302, 0.2299)",1.10504096790595,"(0.97, 1.259)",0.132233894171552,"American Indian/Alaska Native"
"areawf_3cat2",0.0419303617576981,"(-0.1317, 0.2156)",1.04282185594105,"(0.877, 1.241)",0.636042564819369,"American Indian/Alaska Native"
"areawf_4cat1",0.0749355131088256,"(-0.0639, 0.2138)",1.07781464372787,"(0.938, 1.238)",0.290065843109783,"American Indian/Alaska Native"
